"PT subscription group ID","PT subscription Groups","Survey","Percentage of Survey"
1,"50 km",66,0.219269102990033
2,"100 km",53,0.176079734219269
3,"150 km",34,0.112956810631229
4,"200 km",30,0.0996677740863787
5,"250 km",16,0.053156146179402
6,"300 km",18,0.0598006644518272
7,"350 km",11,0.0365448504983389
8,"400 km",20,0.0664451827242525
9,"450 km",1,0.00332225913621262
10,"500 km",16,0.053156146179402
11,"More than 500 km",8,0.026578073089701
12,"I do not know",28,0.0930232558139535
