"PT subscription group ID","PT subscription Groups","Survey","Percentage of Survey"
1,"50 km",26,0.0863787375415282
2,"100 km",27,0.0897009966777409
3,"150 km",12,0.0398671096345515
4,"200 km",28,0.0930232558139535
5,"250 km",19,0.0631229235880399
6,"300 km",32,0.106312292358804
7,"350 km",11,0.0365448504983389
8,"400 km",25,0.0830564784053156
9,"450 km",14,0.0465116279069767
10,"500 km",28,0.0930232558139535
11,"More than 500 km",37,0.122923588039867
12,"I do not know",42,0.13953488372093
