"Group ID","Groups","Subscription 1","Subscription 2","Subscription 3","Subscription 4","Subscription 5","Percentage of Subscription 1","Percentage of Subscription 2","Percentage of Subscription 3","Percentage of Subscription 4","Percentage of Subscription 5"
1,"5 Very interested",39,37,45,36,43,0.129568106312292,0.122923588039867,0.149501661129568,0.119601328903654,0.142857142857143
2,"4 Interested",63,52,64,57,45,0.209302325581395,0.172757475083056,0.212624584717608,0.18936877076412,0.149501661129568
3,"3 Neutral",71,75,82,77,67,0.235880398671096,0.249169435215947,0.272425249169435,0.255813953488372,0.222591362126246
4,"2 Slightly uninterested",59,51,46,53,72,0.196013289036545,0.169435215946844,0.152823920265781,0.176079734219269,0.239202657807309
5,"1 Not interested at all",58,76,53,65,62,0.192691029900332,0.252491694352159,0.176079734219269,0.215946843853821,0.205980066445183
6,"I do not know",11,10,11,13,12,0.0365448504983389,0.0332225913621262,0.0365448504983389,0.0431893687707641,0.0398671096345515
